time,particle_id,x,y,z,vx,vy,vz,EK
0.076,1,1.00292,0.0769269,0,0.0769269,0.997075,0,0.500039
0.077,1,1.003,0.0779239,0,0.0779239,0.996998,0,0.500039
0.078,1,1.00308,0.0789209,0,0.0789209,0.996921,0,0.50004
0.079,1,1.00316,0.0799179,0,0.0799179,0.996842,0,0.50004
0.08,1,1.00324,0.0809147,0,0.0809147,0.996762,0,0.500041
0.081,1,1.00332,0.0819115,0,0.0819115,0.996681,0,0.500041
0.082,1,1.0034,0.0829081,0,0.0829081,0.996599,0,0.500042
0.083,1,1.00348,0.0839047,0,0.0839047,0.996516,0,0.500042
0.084,1,1.00357,0.0849013,0,0.0849013,0.996432,0,0.500043
0.085,1,1.00365,0.0858977,0,0.0858977,0.996347,0,0.500043
0.086,1,1.00374,0.086894,0,0.086894,0.996261,0,0.500044
0.087,1,1.00383,0.0878903,0,0.0878903,0.996174,0,0.500044
0.088,1,1.00391,0.0888865,0,0.0888865,0.996086,0,0.500045
0.089,1,1.004,0.0898826,0,0.0898826,0.995998,0,0.500045
0.09,1,1.00409,0.0908786,0,0.0908786,0.995908,0,0.500046
0.091,1,1.00418,0.0918745,0,0.0918745,0.995817,0,0.500046
0.092,1,1.00428,0.0928703,0,0.0928703,0.995725,0,0.500047
0.093,1,1.00437,0.093866,0,0.093866,0.995632,0,0.500047
0.094,1,1.00446,0.0948616,0,0.0948616,0.995538,0,0.500048
0.095,1,1.00456,0.0958572,0,0.0958572,0.995443,0,0.500048
0.096,1,1.00465,0.0968526,0,0.0968526,0.995347,0,0.500049
0.097,1,1.00475,0.097848,0,0.097848,0.995251,0,0.500049
0.098,1,1.00485,0.0988432,0,0.0988432,0.995153,0,0.50005
0.099,1,1.00495,0.0998384,0,0.0998384,0.995054,0,0.50005
0.1,1,1.00505,0.100833,0,0.100833,0.994954,0,0.500051
0.101,1,1.00515,0.101828,0,0.101828,0.994853,0,0.500051
0.102,1,1.00525,0.102823,0,0.102823,0.994751,0,0.500052
0.103,1,1.00535,0.103818,0,0.103818,0.994649,0,0.500052
0.104,1,1.00546,0.104813,0,0.104813,0.994545,0,0.500053
0.105,1,1.00556,0.105807,0,0.105807,0.99444,0,0.500053
0.106,1,1.00567,0.106802,0,0.106802,0.994334,0,0.500054
0.107,1,1.00577,0.107796,0,0.107796,0.994227,0,0.500054
0.108,1,1.00588,0.10879,0,0.10879,0.99412,0,0.500055
0.109,1,1.00599,0.109784,0,0.109784,0.994011,0,0.500055
0.11,1,1.0061,0.110778,0,0.110778,0.993901,0,0.500056
0.111,1,1.00621,0.111772,0,0.111772,0.99379,0,0.500056
0.112,1,1.00632,0.112766,0,0.112766,0.993678,0,0.500057
0.113,1,1.00643,0.11376,0,0.11376,0.993566,0,0.500057
0.114,1,1.00655,0.114753,0,0.114753,0.993452,0,0.500058
0.115,1,1.00666,0.115747,0,0.115747,0.993337,0,0.500058
0.116,1,1.00678,0.11674,0,0.11674,0.993221,0,0.500059
0.117,1,1.0069,0.117733,0,0.117733,0.993105,0,0.500059
0.118,1,1.00701,0.118726,0,0.118726,0.992987,0,0.50006
0.119,1,1.00713,0.119719,0,0.119719,0.992868,0,0.50006
0.12,1,1.00725,0.120712,0,0.120712,0.992748,0,0.500061
0.121,1,1.00737,0.121705,0,0.121705,0.992628,0,0.500061
0.122,1,1.00749,0.122698,0,0.122698,0.992506,0,0.500062
0.123,1,1.00762,0.12369,0,0.12369,0.992383,0,0.500062
0.124,1,1.00774,0.124682,0,0.124682,0.99226,0,0.500063
0.125,1,1.00786,0.125675,0,0.125675,0.992135,0,0.500063
0.126,1,1.00799,0.126667,0,0.126667,0.992009,0,0.500064
0.127,1,1.00812,0.127659,0,0.127659,0.991883,0,0.500064
0.128,1,1.00824,0.128651,0,0.128651,0.991755,0,0.500065
0.129,1,1.00837,0.129643,0,0.129643,0.991626,0,0.500065
0.13,1,1.0085,0.130634,0,0.130634,0.991497,0,0.500066
0.131,1,1.00863,0.131626,0,0.131626,0.991366,0,0.500066
0.132,1,1.00877,0.132617,0,0.132617,0.991234,0,0.500067
0.133,1,1.0089,0.133608,0,0.133608,0.991102,0,0.500067
0.134,1,1.00903,0.134599,0,0.134599,0.990968,0,0.500068
0.135,1,1.00917,0.13559,0,0.13559,0.990834,0,0.500068
0.136,1,1.0093,0.136581,0,0.136581,0.990698,0,0.500069
